address,location,type,price,listing_image,beds,baths,half_baths,square_feet,brokerage,attribution
"9318 Avenue K, 3F, Canarsie, NY 11236",CANARSIE,RENTAL,2000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/RealogyMLS/LI:3504121/a466e6b0066aaf151cdc7be3f9bd8521?w=3840&q=75,2,2,Not listed,600,Courtesy of Winzone Realty Inc,Not listed
"75 Woodbine Street, 2, Bushwick, NY 11221",BUSHWICK,RENTAL,6400,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/RealogyMLS/LI:3504030/ebc590cc733723123ea5540306a99ba?w=3840&q=75,6,4,Not listed,Not listed,Courtesy of Elite Team Realty Llc,Not listed
"75 Woodbine Street, 1, Bushwick, NY 11221",BUSHWICK,RENTAL,3200,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/RealogyMLS/LI:3504038/bc6ce6e5a75f1a0149cf75abf1515fce?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Elite Team Realty Llc,Not listed
"31-56 44th Street, 1, Long Island City, NY 11103",LONG ISLAND CITY,RENTAL,4250,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/RealogyMLS/LI:3504015/c3210d60aeb6993666bfbaed8f5a7e86?w=3840&q=75,2,1,1,Not listed,Courtesy of Realty Executives Today,Not listed
"32-18 35th Avenue, 3, Long Island City, NY 11106",LONG ISLAND CITY,RENTAL,4000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/RealogyMLS/LI:3503920/6ccccf90d2b812251a1dbb443930fcb8?w=3840&q=75,3,1,1,Not listed,Courtesy of Compass Greater Ny Llc,Not listed
"East 31st Street, Manhattan, NY 10016",KIPS,RENTAL,7160,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,2,2,1,950,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 32nd Street, Manhattan, NY 10016",KIPS,RENTAL,6580,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,2,1,Not listed,430,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Washington Street, Manhattan, NY 10006",FINANCIAL DISTRICT,RENTAL,4610,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/35058/30066701?w=3840&q=75,Not listed,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"48th Avenue, Queens, NY 11109",HUNTERS POINT,RENTAL,5150,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/24737/30012516?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"East 82nd Street, Manhattan, NY 10028",YORKVILLE,RENTAL,5360,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/2949/29904193?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Vanderbilt Avenue, Brooklyn, NY 11238",CLINTON HILL,RENTAL,7420,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/2796/30788087?w=3840&q=75,2,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"Riverside Boulevard, Manhattan, NY 10069",LINCOLN SQ,RENTAL,5200,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/TrestleVow/5884/23267317?w=3840&q=75,1,1,Not listed,Not listed,Must be registered to view full listing details,https://media-cloud.corcoranlabs.com/static-images/rls-at-rebny-red-logo.png?w=3840&q=75
"176 Woodward Avenue, 427, Queens, NY 11385",RIDGEWOOD,APARTMENT BUILDING,4380,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712964/mediarouting.vestahub.com/Media/138997660?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"211 Mcguinness Boulevard, 723, Brooklyn, NY 11222",GREENPOINT,APARTMENT BUILDING,3995,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712961/mediarouting.vestahub.com/Media/138995663?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"536 West 47th Street, 9, Manhattan, NY 10036",CLINTON,APARTMENT BUILDING,2200,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712907/mediarouting.vestahub.com/Media/138991719?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"1220 Flatbush Avenue, 1, Brooklyn, NY 11226",DITMAS PARK,APARTMENT BUILDING,3500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,Not listed,1,1,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"259 Columbia Street, 1, Brooklyn, NY 11231",COLUMBIA WATERFRONT,APARTMENT BUILDING,3700,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712881/mediarouting.vestahub.com/Media/138989929?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"1235 First Avenue, 3, Manhattan, NY 10065",UPPER EAST SIDE,APARTMENT BUILDING,3350,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"854 West End Avenue, 1F, Manhattan, NY 10025",UPPER WEST SIDE,MULTI-FAMILY TOWNHOUSE,1795,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712785/mediarouting.vestahub.com/Media/138980434?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"856 West End Avenue, 1A, Manhattan, NY 10025",UPPER WEST SIDE,MULTI-FAMILY TOWNHOUSE,2000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712783/mediarouting.vestahub.com/Media/138980418?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"866 West End Avenue, 5A, Manhattan, NY 10025",UPPER WEST SIDE,MULTI-FAMILY TOWNHOUSE,3995,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/PropertyAPI/NewTaxi/169350/mediarouting.vestahub.com/Media/111158515?w=3840&q=75,2,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"509 Third Avenue, 12E, Manhattan, NY 10016",MURRAY HILL,APARTMENT BUILDING,4590,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712763/mediarouting.vestahub.com/Media/138993569?w=3840&q=75,2,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"509 Third Avenue, 11D, Manhattan, NY 10016",MURRAY HILL,APARTMENT BUILDING,4590,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712759/mediarouting.vestahub.com/Media/138993548?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"509 Third Avenue, 18C, Manhattan, NY 10016",MURRAY HILL,APARTMENT BUILDING,4590,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712758/mediarouting.vestahub.com/Media/138993618?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"43-29 39th Place, 42, Queens, NY 11104",SUNNYSIDE,APARTMENT BUILDING,2400,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712756/mediarouting.vestahub.com/Media/138978511?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"509 Third Avenue, 14A, Manhattan, NY 10016",MURRAY HILL,APARTMENT BUILDING,4590,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712754/mediarouting.vestahub.com/Media/138993593?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"241 Melrose Street, 1, Brooklyn, NY 11206",BUSHWICK,MULTI-FAMILY TOWNHOUSE,3100,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712653/mediarouting.vestahub.com/Media/138973588?w=3840&q=75,2,1,Not listed,1082,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"403 East 90th Street, 3W, Manhattan, NY 10128",UPPER EAST SIDE,CO-OP,3300,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712524/mediarouting.vestahub.com/Media/138978466?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"1016 East 13th Street, COMM, Brooklyn, NY 11230",MIDWOOD,RESIDENTIAL,10000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712513/mediarouting.vestahub.com/Media/138963451?w=3840&q=75,Not listed,2,2,3400,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"355 West 51st Street, 45, Manhattan, NY 10019",CLINTON,APARTMENT BUILDING,3100,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"147 East 90th Street, 4C, Manhattan, NY 10128",CARNEGIE HILL,APARTMENT BUILDING,4795,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,3,2,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"40 Broad Street, 28A, Manhattan, NY 10004",FINANCIAL DISTRICT,CONDO,5100,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712447/mediarouting.vestahub.com/Media/138962064?w=3840&q=75,1,1,1,921,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"149 East 39th Street, 1201, Manhattan, NY 10016",MURRAY HILL,CONDO,4800,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712281/mediarouting.vestahub.com/Media/138940148?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"149 East 39th Street, 1202, Manhattan, NY 10016",MURRAY HILL,CONDO,6000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712280/mediarouting.vestahub.com/Media/138939068?w=3840&q=75,1,1,Not listed,850,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"149 East 39th Street, 703, Manhattan, NY 10016",MURRAY HILL,CONDO,6000,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712279/mediarouting.vestahub.com/Media/138939055?w=3840&q=75,1,1,Not listed,750,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"181 East 119th Street, 8H, Manhattan, NY 10035",EAST HARLEM,APARTMENT BUILDING,3150,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7712033/mediarouting.vestahub.com/Media/138921962?w=3840&q=75,1,1,Not listed,782,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"244 East 77th Street, 2, Manhattan, NY 10075",UPPER EAST SIDE,APARTMENT BUILDING,2495,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/default-building-image.jpg?w=3840&q=75,1,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"63 3rd Place, 2L, Brooklyn, NY 11231",CARROLL GARDENS,APARTMENT BUILDING,5500,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7711930/mediarouting.vestahub.com/Media/138993566?w=3840&q=75,3,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"650 Tenth Avenue, 2F, Manhattan, NY 10036",CLINTON,RESIDENTIAL,2900,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7711310/mediarouting.vestahub.com/Media/138989888?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"4134 Crescent Street, 7E, Queens, NY 11101",LONG ISLAND CITY,APARTMENT BUILDING,2925,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/PropertyAPI/NewTaxi/49178/mediarouting.vestahub.com/Media/81846803?w=3840&q=75,Not listed,1,Not listed,Not listed,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"498 7th Street, 1, Brooklyn, NY 11215",PARK SLOPE,APARTMENT BUILDING,7650,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/ListingFullAPI/NewTaxi/7695757/mediarouting.vestahub.com/Media/138991650?w=3840&q=75,2,2,Not listed,2000,Courtesy of Corcoran,https://media-cloud.corcoranlabs.com/static-images/corcoran-logo.svg?w=3840&q=75
"Lawrence Street, Brooklyn, NY 11201",DOWNTOWN BROOKLYN,APARTMENT BUILDING,3524,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277690/mediarouting.vestahub.com/Media/138998017?w=3840&q=75,Not listed,1,Not listed,402,Not listed,Not listed
"Dean Street, Brooklyn, NY 11217",PROSPECT HEIGHTS,APARTMENT BUILDING,3475,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277688/mediarouting.vestahub.com/Media/138998014?w=3840&q=75,Not listed,1,Not listed,435,Not listed,Not listed
"Fleet Place, Brooklyn, NY 11201",DOWNTOWN BROOKLYN,APARTMENT BUILDING,3292,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277686/mediarouting.vestahub.com/Media/138998012?w=3840&q=75,Not listed,1,Not listed,506,Not listed,Not listed
"Lawrence Street, Brooklyn, NY 11201",DOWNTOWN BROOKLYN,APARTMENT BUILDING,3157,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277684/mediarouting.vestahub.com/Media/138998016?w=3840&q=75,Not listed,1,Not listed,404,Not listed,Not listed
"Fleet Place, Brooklyn, NY 11201",DOWNTOWN BROOKLYN,APARTMENT BUILDING,3240,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277685/mediarouting.vestahub.com/Media/138998003?w=3840&q=75,Not listed,1,Not listed,580,Not listed,Not listed
"Greenwich Street, Manhattan, NY 10014",WEST VILLAGE,APARTMENT BUILDING,7195,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277669/mediarouting.vestahub.com/Media/138991538?w=3840&q=75,Not listed,2,Not listed,Not listed,Not listed,Not listed
"Washington Street, Manhattan, NY 10014",WEST VILLAGE,APARTMENT BUILDING,4412,https://media-cloud.corcoranlabs.com/filters:format(webp)/fit-in/424x424/AdAPI/NewTaxi/2277664/mediarouting.vestahub.com/Media/138990125?w=3840&q=75,Not listed,1,Not listed,450,Not listed,Not listed
